State,Date,Value
Arizona,5/1/2013,231836817
Arizona,6/1/2013,211428685
Arizona,7/1/2013,225622419
Arizona,8/1/2013,225669714
Arizona,9/1/2013,213103619
Arizona,10/1/2013,222957844
Arizona,11/1/2013,212478969
Arizona,12/1/2013,223842967
Arizona,1/1/2014,215786815
Arizona,2/1/2014,209686292
Arizona,3/1/2014,237658888
Arizona,4/1/2014,230198384
Arizona,5/1/2014,228566214
Arizona,6/1/2014,215495892
Arizona,7/1/2014,225352330
Arizona,8/1/2014,226866147
Arizona,9/1/2014,216733042
Arizona,10/1/2014,229123038
Arizona,11/1/2014,221492362
Arizona,12/1/2014,232190846
Arizona,1/1/2015,231912645
Arizona,2/1/2015,215661073
Arizona,3/1/2015,249614725
Arizona,4/1/2015,238001558
Arizona,5/1/2015,232077464
Arizona,6/1/2015,229549119
Arizona,7/1/2015,239025562
Arizona,8/1/2015,245383348
Arizona,9/1/2015,223765490
Arizona,10/1/2015,245315318
Arizona,11/1/2015,232860090
Arizona,12/1/2015,234004784
Arizona,1/1/2016,237463678
Arizona,2/1/2016,240208351
Arizona,3/1/2016,250980367
Arizona,4/1/2016,242128743
Arizona,5/1/2016,251031974
Arizona,6/1/2016,237893784
Arizona,7/1/2016,247702409
Arizona,8/1/2016,251325831
Arizona,9/1/2016,240025048
Arizona,10/1/2016,247851359
Arizona,11/1/2016,240038735
Arizona,12/1/2016,246753388
Arizona,1/1/2017,233670930
Arizona,2/1/2017,221266247
Arizona,3/1/2017,259302961
Arizona,4/1/2017,249088688
Arizona,5/1/2017,251437586
Arizona,6/1/2017,241159862
Arizona,7/1/2017,250836545
Arizona,8/1/2017,255961984
Arizona,9/1/2017,242800939
Arizona,10/1/2017,250459795
Arizona,11/1/2017,243016851
Arizona,12/1/2017,250784922
Arizona,1/1/2018,243314716
Arizona,2/1/2018,233638972
Arizona,3/1/2018,269743996
Arizona,4/1/2018,256024989
Arizona,5/1/2018,258442260
Arizona,6/1/2018,241002660
Arizona,7/1/2018,249721185
Arkansas,1/1/2012,112334949
Arkansas,2/1/2012,112755002
Arkansas,3/1/2012,122420430
Arkansas,4/1/2012,118962808
Arkansas,5/1/2012,126978684
Arkansas,6/1/2012,122476350
Arkansas,7/1/2012,123719420
Arkansas,8/1/2012,124679621
Arkansas,9/1/2012,115058579
Arkansas,10/1/2012,122441652
Arkansas,11/1/2012,117333003
Arkansas,12/1/2012,115806776
Arkansas,1/1/2013,110224858
Arkansas,2/1/2013,106075666
Arkansas,3/1/2013,120479213
Arkansas,4/1/2013,119559268
Arkansas,5/1/2013,125571701
Arkansas,6/1/2013,124052691
Arkansas,7/1/2013,124860803
Arkansas,8/1/2013,110925370
Arkansas,9/1/2013,117288214
Arkansas,10/1/2013,122056149
Arkansas,11/1/2013,117450353
Arkansas,12/1/2013,112551932
Arkansas,1/1/2014,114043746
Arkansas,2/1/2014,104175101
Arkansas,3/1/2014,119163754
Arkansas,4/1/2014,120287983
Arkansas,5/1/2014,121531426
Arkansas,6/1/2014,120616312
Arkansas,7/1/2014,125391602
Arkansas,8/1/2014,119897798
Arkansas,9/1/2014,116569080
Arkansas,10/1/2014,122616775
Arkansas,11/1/2014,118803233
Arkansas,12/1/2014,122890060
Arkansas,1/1/2015,117392240
Arkansas,2/1/2015,101291425
Arkansas,3/1/2015,116943815
Arkansas,4/1/2015,122826762
Arkansas,5/1/2015,127758236
Arkansas,6/1/2015,127064977
Arkansas,7/1/2015,132612144
Arkansas,8/1/2015,130071058
Arkansas,9/1/2015,125954508
Arkansas,10/1/2015,128985890
Arkansas,11/1/2015,120332212
Arkansas,12/1/2015,120569103
Arkansas,1/1/2016,111981810
Arkansas,2/1/2016,118074068
Arkansas,3/1/2016,130764585
Arkansas,4/1/2016,127042189
Arkansas,5/1/2016,132187245
Arkansas,6/1/2016,132144293
Arkansas,7/1/2016,136052632
Arkansas,8/1/2016,132811486
Arkansas,9/1/2016,129852584
Arkansas,10/1/2016,131760453
Arkansas,11/1/2016,126288309
Arkansas,12/1/2016,128625136
Arkansas,1/1/2017,116836758
Arkansas,2/1/2017,112946587
Arkansas,3/1/2017,131668628
Arkansas,4/1/2017,127387340
Arkansas,5/1/2017,134404140
Arkansas,6/1/2017,132339628
Arkansas,7/1/2017,133234859
Arkansas,8/1/2017,134384336
Arkansas,9/1/2017,123530068
Arkansas,10/1/2017,131694805
Arkansas,11/1/2017,126678757
Arkansas,12/1/2017,127791405
Arkansas,1/1/2018,118430664
Arkansas,2/1/2018,106084994
Arkansas,3/1/2018,131507535
Arkansas,4/1/2018,125946702
Arkansas,5/1/2018,138092082
Arkansas,6/1/2018,132399977
Arkansas,7/1/2018,133164651
California,1/1/2012,1166817254
California,2/1/2012,1156427887
California,3/1/2012,1239604493
California,4/1/2012,1188732793
California,5/1/2012,1279634702
California,6/1/2012,1230703198
California,7/1/2012,1231967035
California,8/1/2012,1258493988
California,9/1/2012,1194183501
California,10/1/2012,1221467954
California,11/1/2012,1163315896
California,12/1/2012,1194341928
California,1/1/2013,1170849333
California,2/1/2013,1099319175
California,3/1/2013,1241055218
California,4/1/2013,1210078452
California,5/1/2013,1261850206
California,6/1/2013,1217494515
California,7/1/2013,1242738195
California,8/1/2013,1277636808
California,9/1/2013,1197089056
California,10/1/2013,1243933800
California,11/1/2013,1173282627
California,12/1/2013,1217977824
California,1/1/2014,1175169085
California,2/1/2014,1109843063
California,3/1/2014,1247378686
California,4/1/2014,1211499862
California,5/1/2014,1274631998
California,6/1/2014,1221370550
California,7/1/2014,1252074748
California,8/1/2014,1285849581
California,9/1/2014,1223680080
California,10/1/2014,1272073682
California,11/1/2014,1195259566
California,12/1/2014,1249037439
California,1/1/2015,1217054940
California,2/1/2015,1148825043
California,3/1/2015,1288573351
California,4/1/2015,1256810725
California,5/1/2015,1279627229
California,6/1/2015,1264319882
California,7/1/2015,1279316652
California,8/1/2015,1317483856
California,9/1/2015,1264803480
California,10/1/2015,1305813553
California,11/1/2015,1225432106
California,12/1/2015,1271902196
California,1/1/2016,1222466654
California,2/1/2016,1226620368
California,3/1/2016,1301398022
California,4/1/2016,1279593955
California,5/1/2016,1324240346
California,6/1/2016,1298020980
California,7/1/2016,1332313447
California,8/1/2016,1365010604
California,9/1/2016,1290003680
California,10/1/2016,1320433755
California,11/1/2016,1251787462
California,12/1/2016,1295804592
California,1/1/2017,1229367998
California,2/1/2017,1162331123
California,3/1/2017,1345472154
California,4/1/2017,1287544760
California,5/1/2017,1356448673
California,6/1/2017,1320833534
California,7/1/2017,1337664094
California,8/1/2017,1315587140
California,9/1/2017,1298500556
California,10/1/2017,1339340878
California,11/1/2017,1240036403
California,12/1/2017,1361698382
California,1/1/2018,1236964906
California,2/1/2018,1186271431
California,3/1/2018,1309212719
California,4/1/2018,1346349161
California,5/1/2018,1338693870
California,6/1/2018,1295586855
California,7/1/2018,1317906989
Colorado,1/1/2012,169639114
Colorado,2/1/2012,163531287
Colorado,3/1/2012,179386511
Colorado,4/1/2012,168984500
Colorado,5/1/2012,182433952
Colorado,6/1/2012,184931519
Colorado,7/1/2012,192635430
Colorado,8/1/2012,195628703
Colorado,9/1/2012,178257667
Colorado,10/1/2012,181543131
Colorado,11/1/2012,167863594
Colorado,12/1/2012,175497664
Colorado,1/1/2013,173646690
Colorado,2/1/2013,157411158
Colorado,3/1/2013,177007348
Colorado,4/1/2013,170741020
Colorado,5/1/2013,190507955
Colorado,6/1/2013,186652183
Colorado,7/1/2013,196007138
Colorado,8/1/2013,198291390
Colorado,9/1/2013,179378873
Colorado,10/1/2013,186677116
Colorado,11/1/2013,172527094
Colorado,12/1/2013,177099232
Colorado,1/1/2014,176149325
Colorado,2/1/2014,161829422
Colorado,3/1/2014,181718599
Colorado,4/1/2014,177288321
Colorado,5/1/2014,189142415
Colorado,6/1/2014,189171975
Colorado,7/1/2014,200993477
Colorado,8/1/2014,204006588
Colorado,9/1/2014,185967885
Colorado,10/1/2014,193119519
Colorado,11/1/2014,176286075
Colorado,12/1/2014,184221190
Colorado,1/1/2015,183396778
Colorado,2/1/2015,164075143
Colorado,3/1/2015,192000081
Colorado,4/1/2015,184466870
Colorado,5/1/2015,194896095
Colorado,6/1/2015,199658243
Colorado,7/1/2015,211709168
Colorado,8/1/2015,212164296
Colorado,9/1/2015,199460649
Colorado,10/1/2015,200162074
Colorado,11/1/2015,181727946
Colorado,12/1/2015,189819984
Colorado,1/1/2016,181938189
Colorado,2/1/2016,177124301
Colorado,3/1/2016,197568083
Colorado,4/1/2016,189666466
Colorado,5/1/2016,196226347
Colorado,6/1/2016,205647990
Colorado,7/1/2016,218272152
Colorado,8/1/2016,218529225
Colorado,9/1/2016,205643929
Colorado,10/1/2016,204365478
Colorado,11/1/2016,185544233
Colorado,12/1/2016,194565484
Colorado,1/1/2017,191654894
Colorado,2/1/2017,172868411
Colorado,3/1/2017,191932863
Colorado,4/1/2017,187883872
Colorado,5/1/2017,196861196
Colorado,6/1/2017,208298985
Colorado,7/1/2017,221635314
Colorado,8/1/2017,222885855
Colorado,9/1/2017,205212953
Colorado,10/1/2017,206292759
Colorado,11/1/2017,190242304
Colorado,12/1/2017,184137361
Colorado,1/1/2018,192066426
Colorado,2/1/2018,173268372
Colorado,3/1/2018,191437364
Colorado,4/1/2018,197506721
Colorado,5/1/2018,213508017
Colorado,6/1/2018,212233605
Colorado,7/1/2018,220616623
Connecticut,1/1/2012,114839195
Connecticut,2/1/2012,111585999
Connecticut,3/1/2012,119066469
Connecticut,4/1/2012,116134800
Connecticut,5/1/2012,124560882
Connecticut,6/1/2012,124785711
Connecticut,7/1/2012,124437615
Connecticut,8/1/2012,125032066
Connecticut,9/1/2012,115982476
Connecticut,10/1/2012,126974480
Connecticut,11/1/2012,124035211
Connecticut,12/1/2012,121948836
Connecticut,1/1/2013,115751875
Connecticut,2/1/2013,102996826
Connecticut,3/1/2013,119534678
Connecticut,4/1/2013,118345531
Connecticut,5/1/2013,127127979
Connecticut,6/1/2013,124257087
Connecticut,7/1/2013,124619766
Connecticut,8/1/2013,124778616
Connecticut,9/1/2013,117088127
Connecticut,10/1/2013,124984167
Connecticut,11/1/2013,119194808
Connecticut,12/1/2013,119945245
Connecticut,1/1/2014,114212331
Connecticut,2/1/2014,103221193
Connecticut,3/1/2014,120104088
Connecticut,4/1/2014,117228438
Connecticut,5/1/2014,125944042
Connecticut,6/1/2014,122249671
Connecticut,7/1/2014,124182525
Connecticut,8/1/2014,123912091
Connecticut,9/1/2014,117068068
Connecticut,10/1/2014,125040248
Connecticut,11/1/2014,119173275
Connecticut,12/1/2014,122530908
Connecticut,1/1/2015,116441085
Connecticut,2/1/2015,106729819
Connecticut,3/1/2015,121583283
Connecticut,4/1/2015,120039283
Connecticut,5/1/2015,129493337
Connecticut,6/1/2015,126049057
Connecticut,7/1/2015,129492363
Connecticut,8/1/2015,129396000
Connecticut,9/1/2015,117653408
Connecticut,10/1/2015,125665449
Connecticut,11/1/2015,119411622
Connecticut,12/1/2015,122408377
Connecticut,1/1/2016,119115671
Connecticut,2/1/2016,111746120
Connecticut,3/1/2016,124258115
Connecticut,4/1/2016,120039283
Connecticut,5/1/2016,132342190
Connecticut,6/1/2016,129326332
Connecticut,7/1/2016,131623230
Connecticut,8/1/2016,132767341
Connecticut,9/1/2016,125898283
Connecticut,10/1/2016,130370781
Connecticut,11/1/2016,123602577
Connecticut,12/1/2016,129220145
Connecticut,1/1/2017,117791378
Connecticut,2/1/2017,110703962
Connecticut,3/1/2017,120132936
Connecticut,4/1/2017,123945246
Connecticut,5/1/2017,129519052
Connecticut,6/1/2017,129024226
Connecticut,7/1/2017,130306998
Connecticut,8/1/2017,132103504
Connecticut,9/1/2017,125646486
Connecticut,10/1/2017,131213282
Connecticut,11/1/2017,124948941
Connecticut,12/1/2017,128351330.1
Connecticut,1/1/2018,116377881
Connecticut,2/1/2018,110035434
Connecticut,3/1/2018,124167191
Connecticut,4/1/2018,122320677
Connecticut,5/1/2018,133254128
Connecticut,6/1/2018,130731923
Connecticut,7/1/2018,130627658
Delaware,1/1/2012,33156307
Delaware,2/1/2012,32954027
Delaware,3/1/2012,32954051
Delaware,4/1/2012,37035196
Delaware,5/1/2012,36228585
Delaware,6/1/2012,38179528
Delaware,7/1/2012,39577718
Delaware,8/1/2012,39240805
Delaware,9/1/2012,39917113
Delaware,10/1/2012,35636314
Delaware,11/1/2012,36570011
Delaware,12/1/2012,35513120
Delaware,1/1/2013,36094593
Delaware,2/1/2013,34171497
Delaware,3/1/2013,31950577
Delaware,4/1/2013,36687596
Delaware,5/1/2013,35859670
Delaware,6/1/2013,38195025
Delaware,7/1/2013,37524873
Delaware,8/1/2013,39798854
Delaware,9/1/2013,35992418
Delaware,10/1/2013,37520873
Delaware,11/1/2013,35303004
Delaware,12/1/2013,35338734
Delaware,1/1/2014,33510544
Delaware,2/1/2014,32002844
Delaware,3/1/2014,36208384
Delaware,4/1/2014,37531479
Delaware,5/1/2014,39606107
Delaware,6/1/2014,26081643
Delaware,7/1/2014,41036730
Delaware,8/1/2014,34852538
Delaware,9/1/2014,45359914
Delaware,10/1/2014,35012372
Delaware,11/1/2014,35303004
Delaware,12/1/2014,35550766
Delaware,1/1/2015,36024878
Delaware,2/1/2015,32796171
Delaware,3/1/2015,37754642
Delaware,4/1/2015,38384304
Delaware,5/1/2015,45345537
Delaware,6/1/2015,40231787
Delaware,7/1/2015,43654856
Delaware,8/1/2015,45881839
Delaware,9/1/2015,38922351
Delaware,10/1/2015,47040576
Delaware,11/1/2015,37054996
Delaware,12/1/2015,39904995
Delaware,1/1/2016,37503898
Delaware,2/1/2016,36617094
Delaware,3/1/2016,45084033
Delaware,4/1/2016,43221590
Delaware,5/1/2016,43846158
Delaware,6/1/2016,42498505
Delaware,7/1/2016,46134305
Delaware,8/1/2016,46701247
Delaware,9/1/2016,40675215
Delaware,10/1/2016,9660116
Delaware,11/1/2016,5465191
Delaware,12/1/2016,40223072
Delaware,1/1/2017,41154553
Delaware,2/1/2017,36066237
Delaware,3/1/2017,34063121
Delaware,4/1/2017,41909213
Delaware,5/1/2017,49915354
Delaware,6/1/2017,43835579
Delaware,7/1/2017,40627538
Delaware,8/1/2017,51314808
Delaware,9/1/2017,35992727
Delaware,10/1/2017,49730467
Delaware,11/1/2017,40534041
Delaware,12/1/2017,42026431
Delaware,1/1/2018,38366249
Delaware,2/1/2018,36892734
Delaware,3/1/2018,41269633
Delaware,4/1/2018,41945115
Delaware,5/1/2018,45037361
Delaware,6/1/2018,43921678
Delaware,7/1/2018,48359046
DC,1/1/2012,10803381
DC,2/1/2012,7014108
DC,3/1/2012,6887107
DC,4/1/2012,8518841
DC,5/1/2012,9240346
DC,6/1/2012,8399252
DC,7/1/2012,9957582
DC,8/1/2012,8708818
DC,9/1/2012,5482936
DC,10/1/2012,7271334
DC,11/1/2012,8059903
DC,12/1/2012,8638957
DC,1/1/2013,7278796
DC,2/1/2013,6900131
DC,3/1/2013,7337350
DC,4/1/2013,7733149
DC,5/1/2013,9354855
DC,6/1/2013,8982277
DC,7/1/2013,9264060
DC,8/1/2013,8642621
DC,9/1/2013,8457985
DC,10/1/2013,9096309
DC,11/1/2013,8777105
DC,12/1/2013,9200437
DC,1/1/2014,9015628
DC,2/1/2014,8988399
DC,3/1/2014,11072475
DC,4/1/2014,9525102
DC,5/1/2014,9637924
DC,6/1/2014,10121403
DC,7/1/2014,9591499
DC,8/1/2014,9102295
DC,9/1/2014,9182039
DC,10/1/2014,8881558
DC,11/1/2014,8265510
DC,12/1/2014,7305030
DC,1/1/2015,9014706
DC,2/1/2015,9367669
DC,3/1/2015,10936662
DC,4/1/2015,8407349
DC,5/1/2015,10577826
DC,6/1/2015,10163260
DC,7/1/2015,11363620
DC,8/1/2015,10122328
DC,9/1/2015,9903088
DC,10/1/2015,10167327
DC,11/1/2015,10554710
DC,12/1/2015,8927030
DC,1/1/2016,8348058
DC,2/1/2016,9672152
DC,3/1/2016,11570988
DC,4/1/2016,8785680
DC,5/1/2016,9228637
DC,6/1/2016,6421994
DC,7/1/2016,11749769
DC,8/1/2016,12528076
DC,9/1/2016,9504496
DC,10/1/2016,41050430
DC,11/1/2016,41107990
DC,12/1/2016,2349962
DC,1/1/2017,11611251
DC,2/1/2017,7898006
DC,3/1/2017,10002841
DC,4/1/2017,14145617
DC,5/1/2017,1211206
DC,6/1/2017,12828178
DC,7/1/2017,12020014
DC,8/1/2017,12766109
DC,9/1/2017,9685081
DC,10/1/2017,10797352
DC,11/1/2017,10113523
DC,12/1/2017,10879575.14
DC,1/1/2018,10733291
DC,2/1/2018,7225813
DC,3/1/2018,12481676
DC,4/1/2018,6207029
DC,5/1/2018,8789241
DC,6/1/2018,11629028
DC,7/1/2018,12198302
Florida,1/1/2012,687375194
Florida,2/1/2012,665416788
Florida,3/1/2012,676445369
Florida,4/1/2012,743858556
Florida,5/1/2012,687156535
Florida,6/1/2012,691018153
Florida,7/1/2012,662013337
Florida,8/1/2012,676240355
Florida,9/1/2012,682766897
Florida,10/1/2012,636863619
Florida,11/1/2012,689070005
Florida,12/1/2012,653433785
Florida,1/1/2013,677907696
Florida,2/1/2013,674281345
Florida,3/1/2013,655345360
Florida,4/1/2013,738351226
Florida,5/1/2013,707077306
Florida,6/1/2013,706695676
Florida,7/1/2013,672172459
Florida,8/1/2013,679360130
Florida,9/1/2013,704037811
Florida,10/1/2013,648236899
